216,3
41,8
131,5
257,1
70,4
116,8
90,3
309,1
324,8
313,8
299,5
57,1
63,6
71,7
148,5
156,8
192,5
62,4
243,3
297,6
104,8
311,8
280,1
167,7
160,8
322,1
221,5
10,3
169,5
117,3
49,3
24,3
253,3
22,5
200,3
54,2
278,8
155,3
168,3
239,1
234,4
84,3
312,1
212,3
211,8
151,3
52,8
184,5
261,8
283,1
162,4
228,8
174,3
233,4
139,8
319,5
289,5
286,3
16,8
152,8
223,5
226,5
105,3
182,3
176,7
330,7
307,1
67,7
106,3
15,1
86,5
44,3
1,7
132,3
64,3
180,3
245,8
263,7
249,3
267,8
296,1
171,8
103,3
32,8
37,4
72,5
303,1
310,3
194,4
