27,5
77,4
79,1
80,8
85,5
103,1
124,5
138,5
141,2
149,3
156,3
180,5
188,3
209,8
217,5
229,3
230,2
231,5
231,8
234,1
242,8
245,8
262,8
273,1
291,3
313,7
322,8
332,8
336,3
339,5
351,3
358,4
358,5
382,3
391,5
392,8
416,3
419,8
425,8
431,1
432,6
437,4
440,5
441,8
444,3
445,8
449,8
451,3
474,8
480,5
507,7
508,3
511,1
522,6
527,3
550,8
556,1
557,1
557,4
561,8
562,5
580,3
590,3
606,4
619,7
622,5
627,7
633,3
639,8
641,8
647,4
680,1
686,5
702,1
705,5
706,6
716,6
718,3
728,8
746,3
755,8
761,3
765,1
774,7
781,5
796,1
798,5
843,5
846,4
863,1
868,1
869,4
896,5
913,1
925,2
929,5
934,8
950,5
957,2
962,5
970,5
972,5
